wavelength (nm),Re(eps_actual),Im(eps_actual),Re(eps_fit),Im(eps_fit)
2.0,-423.86749999999995,89.00999999999999,-427.5787967831316,90.54429848185559
1.9069999999999998,-388.0799,78.804,-387.7342366655788,79.2129858429015
1.7710000000000001,-331.75710000000004,64.782,-332.50362882988816,64.62833795946435
1.653,-289.88190000000003,54.37800000000001,-287.5324303455996,53.81560943561031
1.55,-253.9264,46.08,-250.52937795670073,45.737989420392644
1.5,-235.25560000000002,42.504,-233.32346617205522,42.270890427313475
1.4589999999999999,-220.24110000000002,39.634,-219.58281518095473,39.65112056143171
1.378,-194.4124,35.28,-193.4078866571043,35.080830416207874
1.305,-172.72709999999998,32.472,-170.916391657327,31.686921508734578
1.24,-154.7859,30.25,-151.76104183116558,29.303489537114253
1.2,-142.5359,29.04,-140.38196185327934,28.175155367131005
1.181,-137.7759,28.556,-135.0872600379994,27.740438568085157
1.127,-123.99999999999999,26.88,-120.43854776111948,26.911556225345947
1.078,-110.8959,25.651999999999997,-107.69269218375943,26.778323662497378
1.0330000000000001,-98.4124,25.2,-96.52197504515036,27.31488933058164
1.0,-89.95389999999999,25.866000000000003,-88.73995232943514,28.210483764970448
0.9919,-88.1832,26.0026,-86.89539292282426,28.505963414882515
0.9537000000000001,-77.6061,28.282,-78.64534531633709,30.357326928657287
0.95,-76.63430000000001,26.462400000000002,-77.89323710995082,30.579622197446163
0.925,-68.9472,30.0546,-73.09124304611919,32.292763958990825
0.9184,-67.774,31.3968,-71.91711930039924,32.80673695154047
0.8999999999999999,-64.64640000000001,34.196000000000005,-68.89553169345766,34.370305830096385
0.8856,-62.38650000000001,36.780800000000006,-66.83264544233295,35.71447389519314
0.875,-61.24799999999999,38.9368,-65.51301633819583,36.75663277457567
0.8551,-60.747700000000016,42.363600000000005,-63.56522060387229,38.772441524774585
0.85,-60.75630000000001,42.9084,-63.18923803627547,39.28697352574817
0.8266,-61.54850000000001,45.53880000000001,-62.175899016377564,41.49134621905217
0.8250000000000001,-61.493600000000015,45.705000000000005,-62.15074916739977,41.62588851168814
0.7998999999999999,-63.5625,47.31999999999999,-62.47974167353881,43.24119257692069
0.7749,-67.0431,45.236,-63.920827095288274,43.46784199258428
0.7514000000000001,-68.49629999999999,41.5484,-65.68302992015452,41.97398801928828
0.75,-68.54439999999998,41.376,-65.78319066612826,41.829528210945035
0.7293000000000001,-68.8653,36.6796,-66.98617817787313,39.023486882054236
0.7085,-66.74400000000001,32.0498,-67.3701617918054,35.188147286021454
0.7,-65.70720000000001,30.414600000000004,-67.22340576426393,33.43478470383058
0.6888,-64.37650000000001,28.570800000000002,-66.7471392313658,31.04290368438611
0.6701999999999999,-61.6001,25.632,-65.27922256106429,27.043192447041882
0.6526,-58.932300000000005,23.3036,-63.2195682893756,23.42531522415731
0.65,-58.5232,22.9026,-62.86934695610488,22.91430789636355
0.6358,-56.59040000000001,21.267,-60.78818346288465,20.25398366062005
0.6199,-54.26040000000001,19.448,-58.19345261347108,17.56043223459871
0.6048,-51.9477,17.836399999999998,-55.55982037002926,15.291248338181772
0.6,-51.2676,17.424,-54.70039136930488,14.627718907521977
0.5904,-49.800000000000004,16.445,-52.961662113540925,13.381004061623951
0.5767,-47.8336,15.120000000000001,-50.45685306169747,11.777661060029825
0.5636,-45.882099999999994,13.974,-48.062040617015576,10.4223741378751
0.551,-43.962631,12.9042,-45.77906826913309,9.266549257967968
0.55,-43.838336000000005,12.81804,-45.59919260784568,9.180559800979918
0.5390999999999999,-42.070755999999996,11.9472,-43.65422887283128,8.294130573351886
0.5276000000000001,-40.464711,11.13228,-41.63811086067162,7.452832410288205
0.5166,-38.756124,10.37456,-39.74934566761175,6.729204890656993
0.5061,-37.199979000000006,9.7047,-37.98603999623252,6.104867673215384
0.5,-36.375039,9.351040000000001,-36.98033915415214,5.769333507824248
0.4959,-35.790875,9.1053,-36.31231449294987,5.554284338201334
0.47690000000000005,-33.156975,8.062,-33.30206689316921,4.6575599509641075
0.4592,-30.721664,7.1870400000000005,-30.62682080621185,3.951446719466507
0.44999999999999996,-29.538975999999995,6.76092,-29.285866418502167,3.6267050285445936
0.4428,-28.586796,6.43448,-28.260031350976803,3.3905915422636466
0.4275,-26.728636,5.8032,-26.14851780246645,2.936347864719547
0.4133,-24.926870999999995,5.25092,-24.27112334735672,2.566242230775779
0.39999999999999997,-23.3795,4.7628,-22.583452119690474,2.2589186571864244
0.3875,-21.9725,4.3332,-21.058610905511934,2.000761623123596
0.37570000000000003,-20.606976,3.93984,-19.672751189163584,1.7814322572547507
0.36469999999999997,-19.459251,3.6060199999999996,-18.426948894202447,1.5961870220740473
0.35419999999999996,-18.341775,3.311,-17.278618004982235,1.4350718500697566
0.35,-17.836975000000002,3.18,-16.830320409634776,1.374618244731463
0.3444,-17.256404,3.03576,-16.24230549379275,1.2973650815314954
0.33509999999999995,-16.365263999999996,2.7932799999999993,-15.290094022206691,1.1770970662283782
0.3263,-15.496224000000002,2.5754,-14.416721160464347,1.0719420535160133
0.3179,-14.6495,2.3808,-13.607825085903334,0.9788656609831641
0.31,-13.901164000000001,2.19912,-12.868918804337147,0.8974110521520748
0.3,-12.955924,1.99272,-11.96361562815214,0.8021890905542406
0.2917,-12.251978999999999,1.83222,-11.237412864680838,0.7294016843425053
0.2755,-10.835710999999998,1.5378,-9.88495274046849,0.6022676298097771
0.261,-9.628419,1.29998,-8.746192863910855,0.503637666952413
0.248,-8.6075,1.1172,-7.781985062456414,0.4261090964432427
0.23620000000000002,-7.754516000000001,0.95976,-6.95262812796489,0.3638172797149166
0.2254,-6.945575000000001,0.8184,-6.23137047768775,0.3129679914876644
0.21559999999999999,-6.280218999999999,0.7078199999999999,-5.607875260512587,0.27152688729411595
0.2066,-5.695200000000001,0.6214000000000001,-5.061029009770851,0.23712510485882027
0.1984,-5.184239,0.5426399999999999,-4.5841047805726,0.20862785571602907
